2	12	0	0
1	96	0	0
4	15	0	0
3	22	0	0
5	91	1	91
2	40	0	0
2	61	4	18
3	88	1	83
1	72	5	44
2	61	4	18
3	62	1	21
1	88	3	85
3	49	0	0
2	75	3	52
2	88	4	83
3	44	0	0
1	14	0	0
1	95	0	0
3	54	2	2
4	35	0	0
4	72	1	46
1	48	0	0
2	12	0	0
0	0	6	91
1	26	0	0
3	82	2	69
3	93	3	95
2	98	0	0
2	93	4	96
1	88	3	85
3	38	0	0
3	32	0	0
1	27	0	0
1	96	0	0
2	98	0	0
3	81	0	0
2	46	0	0
1	83	4	72
1	54	5	3
2	3	0	0
1	67	4	34
1	95	0	0
0	0	4	92
4	71	1	44
2	69	3	38
3	64	2	26
0	0	6	96
2	62	4	21
2	27	0	0
2	69	3	38
2	71	3	43
2	90	4	89
0	0	3	27
2	45	0	0
3	27	0	0
1	13	0	0
1	92	3	94
2	82	4	69
2	9	0	0
1	59	3	13
3	100	0	0
4	24	0	0
3	77	2	59
3	65	2	29
2	85	3	78
1	99	0	0
2	6	0	0
1	32	0	0
1	80	3	65
4	84	2	75
2	84	3	75
2	85	4	78
1	50	0	0
3	20	0	0
0	0	6	67
2	71	2	42
2	26	0	0
1	91	4	92
3	99	0	0
2	91	2	93
4	64	2	25
3	29	0	0
3	76	0	0
2	88	2	84
2	63	2	24
0	0	5	39
3	35	0	0
3	77	3	58
3	63	3	22
1	34	0	0
2	95	0	0
1	89	5	86
2	53	0	0
0	0	4	75
3	85	3	78
1	96	0	0
2	62	3	21
2	78	3	60
3	35	0	0
2	32	0	0
1	71	3	43
2	58	4	11
4	60	2	17
2	66	3	32
2	35	0	0
1	95	0	0
3	98	0	0
0	0	4	68
2	21	0	0
5	93	1	97
1	95	0	0
3	13	0	0
3	21	0	0
2	64	4	27
3	88	3	84
3	37	0	0
2	82	2	69
2	76	3	54
3	69	2	38
3	75	2	54
3	67	3	33
1	33	0	0
3	93	3	97
0	0	3	14
3	92	2	95
0	0	4	90
5	52	0	0
1	15	0	0
2	66	3	31
2	99	0	0
2	79	3	63
3	62	3	21
3	43	0	0
3	20	0	0
2	98	0	0
2	69	2	37
3	67	3	35
1	67	4	33
1	3	0	0
3	71	3	43
0	0	5	5
4	84	1	75
2	71	3	44
3	3	0	0
2	76	4	56
2	51	0	0
2	80	3	65
4	36	0	0
1	51	0	0
1	34	0	0
1	36	0	0
2	93	3	97
1	98	0	0
0	0	5	37
3	93	1	96
3	88	1	84
2	45	0	0
3	86	3	80
1	81	5	67
3	16	0	0
2	13	0	0
1	71	5	44
3	92	3	95
0	0	3	1
1	97	0	0
3	40	0	0
2	75	3	52
2	52	0	0
0	0	6	67
1	55	5	3
2	68	3	36
4	89	1	86
1	89	3	87
0	0	3	7
2	96	0	0
2	84	1	75
2	84	2	76
4	68	2	35
3	64	3	25
2	17	0	0
3	73	3	47
2	17	0	0
2	78	2	60
2	25	0	0
5	97	0	0
2	70	2	40
2	69	4	38
2	74	4	51
0	0	5	70
2	89	3	88
3	64	1	25
3	91	2	91
2	7	0	0
2	88	3	85
3	33	0	0
2	78	3	60
1	44	0	0
1	66	4	31
3	18	0	0
4	79	0	0
2	40	0	0
2	46	0	0
2	63	3	23
2	46	0	0
1	77	4	58
3	61	1	20
1	34	0	0
2	89	2	87
5	84	1	76
4	67	1	35
1	43	0	0
2	57	1	10
4	50	0	0
4	89	2	86
2	65	2	29
3	72	2	46
3	57	2	10
2	49	0	0
4	41	0	0
4	33	0	0
1	57	4	8
1	46	0	0
3	38	0	0
3	41	0	0
2	65	4	28
1	73	3	48
2	37	0	0
1	63	4	25
2	68	3	35
1	73	4	48
2	84	3	74
3	62	2	21
2	69	2	38
3	58	3	12
3	71	2	43
2	89	3	86
3	13	0	0
2	63	2	24
2	72	3	46
2	49	0	0
1	98	0	0
3	49	0	0
1	76	4	55
3	60	2	16
2	58	4	11
1	86	3	79
1	24	0	0
3	62	2	22
2	55	3	4
4	80	1	64
2	36	0	0
3	86	2	80
3	81	2	67
2	48	0	0
3	33	0	0
4	87	1	83
5	90	1	88
1	45	0	0
1	74	3	50
2	97	0	0
1	96	0	0
2	76	2	55
2	81	3	66
1	79	4	64
1	84	5	74
2	88	3	85
3	86	3	79
1	100	0	0
3	89	3	88
2	36	0	0
2	59	3	13
4	71	2	43
2	91	3	91
1	5	0	0
1	89	4	87
1	13	0	0
2	100	0	0
2	48	0	0
3	83	2	73
2	53	0	0
3	17	0	0
0	0	4	59
2	6	0	0
4	32	0	0
2	79	4	63
2	85	1	76
1	66	4	31
2	21	0	0
1	86	4	80
2	98	0	0
2	29	0	0
4	37	0	0
4	90	2	90
2	73	1	48
0	0	4	13
0	0	4	1
3	75	2	54
1	98	0	0
2	79	3	62
1	72	4	45
3	99	0	0
3	72	1	46
1	32	0	0
2	67	3	33
2	69	3	39
3	50	0	0
4	66	2	30
3	76	2	56
2	79	2	63
2	32	0	0
3	90	2	89
1	92	2	94
2	37	0	0
2	41	0	0
3	22	0	0
2	86	2	81
3	81	1	68
4	1	0	0
2	100	0	0
2	69	2	38
3	72	3	45
0	0	4	19
2	57	3	9
2	87	4	82
3	88	3	84
0	0	4	92
2	97	0	0
4	90	1	88
1	69	5	39
3	70	2	41
2	50	0	0
2	67	4	33
3	31	0	0
1	80	4	66
1	63	5	24
4	93	1	96
1	37	0	0
2	37	0	0
1	62	3	22
1	66	3	32
5	95	0	0
2	46	0	0
4	73	1	48
2	67	3	34
4	62	1	21
1	100	0	0
2	69	1	39
3	54	3	2
4	74	1	51
1	91	3	91
1	38	0	0
0	0	6	38
4	80	1	64
3	80	1	66
3	27	0	0
1	81	5	68
2	95	0	0
1	10	0	0
1	74	4	51
1	78	4	61
3	47	0	0
3	56	2	6
2	76	3	56
3	97	0	0
4	83	2	72
4	86	1	79
1	76	4	56
3	66	2	31
4	59	2	15
1	80	5	66
1	31	0	0
1	33	0	0
6	21	0	0
3	48	0	0
4	58	1	12
1	100	0	0
2	76	4	56
3	74	3	50
5	72	1	46
0	0	5	39
0	0	3	79
2	78	2	61
1	85	5	78
0	0	5	54
2	50	0	0
2	74	3	51
1	21	0	0
1	47	0	0
1	67	4	34
2	74	4	49
4	95	0	0
2	17	0	0
1	94	3	98
1	54	2	1
4	74	1	49
4	89	1	86
1	94	4	99
3	73	1	48
1	54	4	1
2	91	2	91
1	24	0	0
2	22	0	0
1	84	4	75
3	42	0	0
2	97	0	0
3	38	0	0
2	44	0	0
1	61	4	18
1	94	4	98
3	95	0	0
3	95	0	0
2	46	0	0
4	70	1	40
1	21	0	0
0	0	6	64
1	52	0	0
5	83	1	71
2	44	0	0
3	19	0	0
2	73	2	49
1	44	0	0
2	98	0	0
3	47	0	0
3	11	0	0
2	60	2	17
2	45	0	0
2	42	0	0
1	44	0	0
1	45	0	0
1	99	0	0
1	83	2	73
0	0	6	24
1	82	5	69
2	87	4	82
3	95	0	0
1	89	4	87
3	100	0	0
1	93	3	97
2	68	4	35
2	59	2	15
1	44	0	0
4	63	2	24
1	42	0	0
3	63	3	24
3	58	3	11
1	45	0	0
5	82	1	70
2	82	2	70
0	0	4	18
1	5	0	0
3	80	3	64
2	15	0	0
1	9	0	0
2	35	0	0
2	93	3	96
2	68	4	36
2	58	3	12
4	70	2	41
1	19	0	0
3	54	3	2
3	67	2	34
2	49	0	0
2	94	4	100
1	99	0	0
2	59	3	15
4	11	0	0
3	76	2	56
4	6	0	0
3	82	3	69
3	47	0	0
4	98	0	0
4	90	2	90
3	33	0	0
2	70	3	39
3	99	0	0
2	46	0	0
1	78	1	61
1	46	0	0
2	32	0	0
2	62	3	21
4	83	0	0
2	77	3	58
2	66	4	32
3	54	2	2
3	76	2	56
2	100	0	0
2	88	4	85
4	22	0	0
0	0	2	51
1	74	5	49
1	41	0	0
2	4	0	0
2	79	2	63
4	71	1	42
2	61	3	19
2	9	0	0
1	70	5	41
0	0	5	91
0	0	4	100
3	70	1	41
3	13	0	0
2	58	1	12
1	76	2	55
1	77	4	59
2	87	3	83
3	73	2	48
2	79	2	63
3	68	3	35
1	66	3	31
1	89	5	86
1	39	0	0
3	75	2	52
5	68	1	37
1	53	0	0
4	83	2	73
2	37	0	0
1	88	4	84
3	55	2	4
1	77	5	59
2	59	2	13
2	19	0	0
2	88	4	85
3	70	2	41
1	6	0	0
3	54	2	1
2	9	0	0
1	34	0	0
2	70	3	41
2	65	3	29
4	12	0	0
1	78	4	59
2	62	2	20
1	72	5	44
4	94	2	99
5	98	0	0
4	15	0	0
3	88	1	83
5	86	1	79
3	85	2	77
2	41	0	0
2	84	2	74
2	49	0	0
3	70	2	41
2	65	4	29
2	71	4	43
2	50	0	0
0	0	4	72
2	33	0	0
3	69	1	37
1	83	4	73
1	82	4	70
2	65	2	29
1	61	4	18
0	0	6	38
2	99	0	0
1	52	0	0
3	61	1	18
3	90	3	90
0	0	5	33
2	23	0	0
1	88	4	83
5	63	1	24
0	0	6	8
3	42	0	0
2	100	0	0
3	98	0	0
0	0	4	67
2	67	3	33
1	80	2	64
1	69	4	37
2	81	1	67
3	60	3	16
1	59	4	15
2	26	0	0
3	14	0	0
1	81	3	67
4	38	0	0
2	33	0	0
1	98	0	0
1	80	5	65
3	20	0	0
1	82	4	69
4	40	0	0
2	76	3	56
2	78	4	59
1	89	4	86
3	77	3	58
2	46	0	0
